word,model_position,model_label,confidence,syll_count,phon_position,phon_label,agreement,sentence_id,sentence,token_index,word_index,token_text,normalized_word,lemma,word_length,syllable_count,pos,tag,morphology,dependency,syntactic_role,head,head_lemma,head_token_index,syntactic_depth,is_root,is_subject,is_object,is_modifier,sentence_word_index,sentence_word_count,sentence_position,is_first_in_sentence,is_last_in_sentence,previous_word,next_word,punctuation_before,punctuation_after,has_pause_after,has_sentence_end,is_question_end,is_exclamation_end
La,0,ultima sillaba,0.5312952477222672,1,0,ultima sillaba,True,0,"La musica attraversa il bosco, sfiorando gli alberi addormentati;",0,0,La,la,il,2,1,DET,RD,Definite=Def|Gender=Fem|Number=Sing|PronType=Art,det,determinante,musica,musica,1,2,False,False,False,False,0,9,inizio,True,False,,musica,,,False,False,False,False
musica,2,antepenultima sillaba,0.7082269350398449,3,2,antepenultima sillaba,True,0,"La musica attraversa il bosco, sfiorando gli alberi addormentati;",1,1,musica,musica,musica,6,3,NOUN,S,Gender=Fem|Number=Sing,nsubj,soggetto,attraversa,attraversare,2,1,False,True,False,False,1,9,interno,False,False,La,attraversa,,,False,False,False,False
attraversa,1,penultima sillaba,0.8205227035169842,4,1,penultima sillaba,True,0,"La musica attraversa il bosco, sfiorando gli alberi addormentati;",2,2,attraversa,attraversa,attraversare,10,4,VERB,V,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,ROOT,radice,attraversa,attraversare,2,0,True,False,False,False,2,9,interno,False,False,musica,il,,,False,False,False,False
il,0,ultima sillaba,0.8721203262152519,1,0,ultima sillaba,True,0,"La musica attraversa il bosco, sfiorando gli alberi addormentati;",3,3,il,il,il,2,1,DET,RD,Definite=Def|Gender=Masc|Number=Sing|PronType=Art,det,determinante,bosco,bosco,4,2,False,False,False,False,3,9,interno,False,False,attraversa,bosco,,,False,False,False,False
bosco,1,penultima sillaba,0.5541055855905019,2,1,penultima sillaba,True,0,"La musica attraversa il bosco, sfiorando gli alberi addormentati;",4,4,bosco,bosco,bosco,5,2,NOUN,S,Gender=Masc|Number=Sing,obj,oggetto,attraversa,attraversare,2,1,False,False,True,False,4,9,interno,False,False,il,sfiorando,,",",True,False,False,False
sfiorando,1,penultima sillaba,0.7778334086623175,3,1,penultima sillaba,True,0,"La musica attraversa il bosco, sfiorando gli alberi addormentati;",6,5,sfiorando,sfiorando,sfiorare,9,3,VERB,V,VerbForm=Ger,advcl,advcl,attraversa,attraversare,2,1,False,False,False,False,5,9,interno,False,False,bosco,gli,",",,False,False,False,False
gli,0,ultima sillaba,0.4822366972603153,1,0,ultima sillaba,True,0,"La musica attraversa il bosco, sfiorando gli alberi addormentati;",7,6,gli,gli,il,3,1,DET,RD,Definite=Def|Gender=Masc|Number=Plur|PronType=Art,det,determinante,alberi,albero,8,3,False,False,False,False,6,9,interno,False,False,sfiorando,alberi,,,False,False,False,False
alberi,2,antepenultima sillaba,0.4926231969158551,3,2,antepenultima sillaba,True,0,"La musica attraversa il bosco, sfiorando gli alberi addormentati;",8,7,alberi,alberi,albero,6,3,NOUN,S,Gender=Masc|Number=Plur,obj,oggetto,sfiorando,sfiorare,6,2,False,False,True,False,7,9,interno,False,False,gli,addormentati,,,False,False,False,False
addormentati,1,penultima sillaba,0.8215063766302567,5,1,penultima sillaba,True,0,"La musica attraversa il bosco, sfiorando gli alberi addormentati;",9,8,addormentati,addormentati,addormentato,12,5,ADJ,A,Gender=Masc|Number=Plur,amod,modificatore_aggettivale,alberi,albero,8,3,False,False,False,True,8,9,fine,False,True,alberi,una,,;,True,False,False,False
una,1,penultima sillaba,0.7294034628995835,2,1,penultima sillaba,True,11,"una lucciola illumina il sentiero, tra profumi antichi e prati argentati.",11,9,una,una,uno,3,2,DET,RI,Definite=Ind|Gender=Fem|Number=Sing|PronType=Art,det,determinante,lucciola,lucciola,12,2,False,False,False,False,0,11,inizio,True,False,addormentati,lucciola,;,,False,False,False,False
lucciola,2,antepenultima sillaba,0.4812930784790963,3,2,antepenultima sillaba,True,11,"una lucciola illumina il sentiero, tra profumi antichi e prati argentati.",12,10,lucciola,lucciola,lucciola,8,3,NOUN,S,Gender=Fem|Number=Sing,nsubj,soggetto,illumina,illuminare,13,1,False,True,False,False,1,11,interno,False,False,una,illumina,,,False,False,False,False
illumina,1,penultima sillaba,0.6590912545578942,4,2,antepenultima sillaba,False,11,"una lucciola illumina il sentiero, tra profumi antichi e prati argentati.",13,11,illumina,illumina,illuminare,8,4,VERB,V,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,ROOT,radice,illumina,illuminare,13,0,True,False,False,False,2,11,interno,False,False,lucciola,il,,,False,False,False,False
il,0,ultima sillaba,0.8721203262152518,1,0,ultima sillaba,True,11,"una lucciola illumina il sentiero, tra profumi antichi e prati argentati.",14,12,il,il,il,2,1,DET,RD,Definite=Def|Gender=Masc|Number=Sing|PronType=Art,det,determinante,sentiero,sentiero,15,2,False,False,False,False,3,11,interno,False,False,illumina,sentiero,,,False,False,False,False
sentiero,0,ultima sillaba,0.44702260984315045,3,1,penultima sillaba,False,11,"una lucciola illumina il sentiero, tra profumi antichi e prati argentati.",15,13,sentiero,sentiero,sentiero,8,3,NOUN,S,Gender=Masc|Number=Sing,obj,oggetto,illumina,illuminare,13,1,False,False,True,False,4,11,interno,False,False,il,tra,,",",True,False,False,False
tra,0,ultima sillaba,0.6183682392486656,1,0,ultima sillaba,True,11,"una lucciola illumina il sentiero, tra profumi antichi e prati argentati.",17,14,tra,tra,tra,3,1,ADP,E,,case,preposizione,profumi,profume,18,3,False,False,False,False,5,11,interno,False,False,sentiero,profumi,",",,False,False,False,False
profumi,1,penultima sillaba,0.5770438852163263,3,1,penultima sillaba,True,11,"una lucciola illumina il sentiero, tra profumi antichi e prati argentati.",18,15,profumi,profumi,profume,7,3,NOUN,S,Gender=Masc|Number=Plur,nmod,complemento_nominale,sentiero,sentiero,15,2,False,False,False,True,6,11,interno,False,False,tra,antichi,,,False,False,False,False
